BioSample,Assay_Type,Organism,Run,Sample_Name,individual,sex,tissue,BioProject
SAMN11245704,WGS,Micropoecilia picta,SRR8785712,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785713,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785727,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785728,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785732,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785733,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785734,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785735,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785736,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785737,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785738,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785882,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785883,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785884,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785885,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785886,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245704,WGS,Micropoecilia picta,SRR8785887,P.pic._6M_H,12,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785562,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785563,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785566,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785567,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785568,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785569,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785576,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785577,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785580,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785581,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785582,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785583,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785584,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785585,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785586,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785587,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785709,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785731,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785961,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785962,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785963,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245703,WGS,Micropoecilia picta,SRR8785964,P.pic._5M_H,11,male,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785643,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785644,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785645,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785646,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785647,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785648,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785650,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785655,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785656,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785659,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785660,P.pic._4F_H,9,female,head,PRJNA528814
SAMN11245701,WGS,Micropoecilia picta,SRR8785675,P.pic._4F_H,9,female,head,PRJNA528814
